Delete,Delete
"Are you sure you want to delete this?","Are you sure you want to delete this?"
"Goals Id","Goals Id"
"Test Id","Test Id"
"Goal Name","Goal Name"
"Goal Description","Goal Description"
Edit,Edit
"Add Test","Add Test"
"Ab Test","Ab Test"
"Split Test","Split Test"
Back,Back
"Entity Id","Entity Id"
"Parent Class","Parent Class"
"Unique Parent Id","Unique Parent Id"
"Page Class","Page Class"
"Edited Class","Edited Class"
"We can't find a record to delete.","We can't find a record to delete."
"Something went wrong","Something went wrong"
"Invalid record id provided","Invalid record id provided"
"Record Deleted succesfully","Record Deleted succesfully"
"row data no longer exist.","row data no longer exist."
Information,Information
"Duplicated goals data not allowed","Duplicated goals data not allowed"
"Goals Data updated Successfully","Goals Data updated Successfully"
"Goals Data Added Successfully","Goals Data Added Successfully"
"Invalid Goal Name is provided","Invalid Goal Name is provided"
"Track Type Id is required","Track Type Id is required"
"Tracks data is required","Tracks data is required"
"Track Url is required","Track Url is required"
"Track Url is invalid","Track Url is invalid"
"Css property is required","Css property is required"
"Ab Test Information","Ab Test Information"
"Test Status has been ' . . ' successfully","Test Status has been ' . . ' successfully"
"Variant Id not found","Variant Id not found"
"goal id not found","goal id not found"
"test scenario added succesfully","test scenario added succesfully"
"variants records deleted successfully","variants records deleted successfully"
"test case have been updated successfully","test case have been updated successfully"
"Failed to update Test case.
                Please check for duplicacy","Failed to update Test case.
                Please check for duplicacy"
"test scenario updated succesfully","test scenario updated succesfully"
"Specific Url cannot be empty","Specific Url cannot be empty"
"Invalid Specific Url data provided","Invalid Specific Url data provided"
"Specific url is invalid","Specific url is invalid"
"Default Type cannot be empty","Default Type cannot be empty"
"Category cannot be empty","Category cannot be empty"
"Product cannot be empty","Product cannot be empty"
"Variants for test scenario added succesfully","Variants for test scenario added succesfully"
"Test case with control url already exist! duplicate entry not allowed","Test case with control url already exist! duplicate entry not allowed"
"Test case added successfully","Test case added successfully"
"Record Deleted successfully","Record Deleted successfully"
"Record cannot be Deleted. Record Id not available","Record cannot be Deleted. Record Id not available"
Analysis,Analysis
"Test Cases(s) deleted succesfully","Test Cases(s) deleted succesfully"
"Select Options","Select Options"
"No Available Options","No Available Options"
"View Selectors","View Selectors"
"View  Selectors","View  Selectors"
"Invalid file upload attempt.","Invalid file upload attempt."
"Invalid Data Provided","Invalid Data Provided"
" Csv uploaded Successfully"," Csv uploaded Successfully"
"Variant  Token do not exist","Variant  Token do not exist"
"Expired Token","Expired Token"
"Variant  Id do not exist","Variant  Id do not exist"
"Element Val do not exist","Element Val do not exist"
"Goal Id do not exist","Goal Id do not exist"
"Variant Id do not exist","Variant Id do not exist"
"Trak Url do not exist","Trak Url do not exist"
"Current Url do not exist","Current Url do not exist"
"Goal Url does not match main url","Goal Url does not match main url"
"current url matches with goals url","current url matches with goals url"
"Goal Url pattern does not match main url","Goal Url pattern does not match main url"
"No Data Available To Save","No Data Available To Save"
"Changes saved successfully","Changes saved successfully"
"Category Pages","Category Pages"
"Product Pages","Product Pages"
"CMS Pages","CMS Pages"
"All Categories","All Categories"
"Select Categories","Select Categories"
"All products on selected categories","All products on selected categories"
Disabled,Disabled
Enabled,Enabled
View,View
"Control Page Url","Control Page Url"
"Set goals means,
                what will happen if your assumptions work","Set goals means,
                what will happen if your assumptions work"
"Add Goals","Add Goals"
"Goals Information","Goals Information"
"Enter Goal Name","Enter Goal Name"
"Track Types","Track Types"
label,label
Tracks,Tracks
"Select Track Options","Select Track Options"
Condition,Condition
Matches,Matches
Like,Like
Url,Url
"Enter Url","Enter Url"
"Add Css selector","Add Css selector"
"Enter Css selector","Enter Css selector"
"No Data Available On Test case to show Reports","No Data Available On Test case to show Reports"
"Check insights for your business","Check insights for your business"
"Main Control Url","Main Control Url"
"Download Selector files","Download Selector files"
"Webkul Editor Tool","Webkul Editor Tool"
Save,Save
"This is just a Preview Page
     to view edits done on the page","This is just a Preview Page
     to view edits done on the page"
"Previous Changes saved to database. To view changes click on preview.","Previous Changes saved to database. To view changes click on preview."
Submit,Submit
Webkul,Webkul
AbTesting,AbTesting
"General Settings","General Settings"
Enable,Enable
"Select View Pattern","Select View Pattern"
"Employee Information","Employee Information"
"Test Information Details","Test Information Details"
"Start Test","Start Test"
"Test Name ","Test Name "
"Assumptions ","Assumptions "
"Run From","Run From"
"Run To","Run To"
"Control Url Information","Control Url Information"
"Url Type","Url Type"
"Enter Specific Url","Enter Specific Url"
"Default Pages","Default Pages"
"Select Product","Select Product"
cms,cms
Info,Info
"Specific Url","Specific Url"
" Category"," Category"
Product,Product
"Cms Page","Cms Page"
"Variants ","Variants "
"Add Variant","Add Variant"
"Variant ""Your Page Name"" 1 For e.g 
                        Variant Home 1","Variant ""Your Page Name"" 1 For e.g 
                        Variant Home 1"
"This is optional field. 
                        The destination url will get auto generated","This is optional field. 
                        The destination url will get auto generated"
"Goals ","Goals "
"Reports ","Reports "
"Are you sure you want to Delete selected Test cases?","Are you sure you want to Delete selected Test cases?"
"Change status","Change status"
Disable,Disable
ID,ID
"Test name","Test name"
"Test Type","Test Type"
Description,Description
Status,Status
"Created At","Created At"
"Offer Details","Offer Details"
"Create Goals ","Create Goals "
"Recent Goals ","Recent Goals "
"Old Promotions ","Old Promotions "
"Are you sure you want to Delete selected records?","Are you sure you want to Delete selected records?"
"Exclude Url","Exclude Url"
"Destination url","Destination url"
"Edit variants weights","Edit variants weights"
"Create Varants","Create Varants"
"Create Variants","Create Variants"
" Create Variants"," Create Variants"
"Product Quantity ","Product Quantity "
"Price Per Product ","Price Per Product "
"Weight ","Weight "
" Decsription "," Decsription "
"Upload selectors csv ","Upload selectors csv "
"CSV File","CSV File"
"View Selectors ","View Selectors "
